Usuario_ID,Edad,Grupo_Edad,Genero,Ciudad,Consumo_mensual_original,Consumo_mensual_num,Consumo_rango,Consumo_valido,Tipo_Favorita,Conocimiento,Atraccion,Contexto,Preferencia,Marca,Descubierta_en,Comentario,Comentario_Razon,Segmento_evento
1,22,18-25,Femenino,León,23,23.0,21-30,True,Lager,Alto,Diseño del empaque,Familia,Comercial,Minerva,Festival,Me gustó su sabor suave,"""Es más accesible""",Consumidor casual
2,21,18-25,Masculino,León,15,15.0,11-20,True,IPA,Medio,Recomendación,Amigos,Artesanal,Cucapá,Redes sociales,La amargor es perfecto,"""Prefiero apoyar lo local""",Socializadores
3,23,18-25,Femenino,León,30,30.0,21-30,True,Stout,Alto,Curiosidad,Familia,Artesanal,Calavera,Bar,"No suelo tomar, pero me gustó","""La artesanal es más auténtica""",Buscadores de experiencia
4,20,18-25,Masculino,León,8,8.0,6-10,True,Pale Ale,Bajo,Precio,Pareja,Comercial,Sierra Nevada,Tienda,"Buen sabor, buena relación calidad-precio","""Fácil de encontrar""",Exploradores de entrada
5,19,18-25,Masculino,León,14,14.0,11-20,True,IPA,Medio,Recomendación,Amigos,Artesanal,Fauna,Evento,Refrescante y frutal,"""Me gusta probar sabores nuevos""",Socializadores
6,18,18-25,Femenino,León,20,20.0,11-20,True,Porter,Alto,Sabor,Solo,Artesanal importada,Insurgente,Amigo o familiar,Perfecta para clima frío,"""Disfruto descubrir cervezas exclusivas""",Catadores craft
7,22,18-25,Masculino,León,5,5.0,0-5,True,Weiss,Bajo,Nombre,Compañeros,Comercial,Stone Brewing,Viaje,La probé por el nombre curioso,"""Es lo que sirven en el trabajo""",Exploradores de entrada
8,21,18-25,Femenino,León,16,16.0,11-20,True,Amber,Medio,Diseño del empaque,Pareja,Artesanal,BrewDog,Revista especializada,El color me llamó la atención,"""Nos encanta visitar microcervecerías""",Consumidor casual
9,23,18-25,Masculino,León,20,20.0,11-20,True,Sour,Alto,Curiosidad,Amigos,Artesanal importada,Principia,Festival,"Acidez equilibrada, excelente","""Siempre probamos novedades""",Socializadores
10,20,18-25,Femenino,León,8,8.0,6-10,True,Lager,Bajo,Precio,Familia,Comercial,La Chouffe,Restaurante,Solo tomo en reuniones,"""Es lo que todos toman en casa""",Exploradores de entrada
11,23,18-25,Masculino,León,24,24.0,21-30,True,IPA,Alto,Sabor,Solo,Artesanal,Rámuri,Bar,Soy fan de las IPAs intensas,"""Me gusta el proceso artesanal""",Catadores craft
12,19,18-25,Masculino,León,10,10.0,6-10,True,Stout,Medio,Recomendación,Amigos,Comercial,Mikkeller,Tienda,Mejor de lo que esperaba,"""Es más barata para compartir""",Socializadores
13,18,18-25,Femenino,León,5,5.0,0-5,True,Pale Ale,Bajo,Nombre,Pareja,Artesanal,Tierra Blanca,Evento,No recuerdo bien el sabor,"""Celebramos aniversarios con ellas""",Exploradores de entrada
